,date,UID,iso2,iso3,code3,Province/State,Country/Region,Lat,Long,Combined_Key,Population,cases,deaths,recovered
288,2020-01-22,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
578,2020-01-23,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
868,2020-01-24,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
1158,2020-01-25,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
1448,2020-01-26,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
1738,2020-01-27,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
2028,2020-01-28,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
2318,2020-01-29,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
2608,2020-01-30,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
2898,2020-01-31,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
3188,2020-02-01,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
3478,2020-02-02,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
3768,2020-02-03,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
4058,2020-02-04,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
4348,2020-02-05,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
4638,2020-02-06,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
4928,2020-02-07,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
5218,2020-02-08,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
5508,2020-02-09,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
5798,2020-02-10,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
6088,2020-02-11,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
6378,2020-02-12,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
6668,2020-02-13,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
6958,2020-02-14,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
7248,2020-02-15,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
7538,2020-02-16,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
7828,2020-02-17,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
8118,2020-02-18,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
8408,2020-02-19,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
8698,2020-02-20,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
8988,2020-02-21,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
9278,2020-02-22,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
9568,2020-02-23,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
9858,2020-02-24,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
10148,2020-02-25,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
10438,2020-02-26,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
10728,2020-02-27,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
11018,2020-02-28,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
11308,2020-02-29,894.0,ZM,ZMB,894.0,,Zambia,-13.133897,27.849332,Zambia,18383956.0,0,0,0
